"","WEATHER_CONDITION","CRASH_HOUR","LATITUDE","LONGITUDE"
"132","CLEAR",9,41.778748906,-87.692018535
"133","CLEAR",23,41.858372593,-87.627356171
"134","CLEAR",12,41.696313684,-87.596632244
"135","CLEAR",14,41.850079796,-87.639001921
"136","CLEAR",4,41.794642669,-87.63177187
"137","CLEAR",13,41.970677839,-87.679558107
"138","CLEAR",17,41.794806764,-87.631935108
"139","CLEAR",10,41.928367268,-87.67382063
"140","CLEAR",9,41.752425448,-87.726227906
"141","CLEAR",7,41.75634442,-87.56617362
"142","CLEAR",13,41.949577875,-87.713366626
"143","CLEAR",13,42.004982766,-87.6863793
"144","CLEAR",16,41.927011836,-87.64866887
"145","CLEAR",21,41.917450989,-87.711988373
"146","CLEAR",18,41.909417163,-87.711744966
"147","CLEAR",12,41.898544311,-87.620912143
"148","CLEAR",15,41.795932037,-87.650209857
"149","CLEAR",13,41.943257368,-87.640820094
"150","CLEAR",16,41.738785512,-87.575601367
"151","CLEAR",22,41.924299945,-87.733028839
"152","CLEAR",10,41.987222831,-87.65665467
"153","CLEAR",14,41.945731894,-87.788726484
"154","CLEAR",14,41.81845057,-87.704232251
"155","CLEAR",3,41.89972028,-87.673722793
"156","CLEAR",11,41.946958098,-87.679707862
"157","CLEAR",14,41.923871832,-87.806103722
"158","CLEAR",12,41.899114249,-87.667522923
"159","CLEAR",13,41.998039056,-87.680288058
"160","CLEAR",15,41.83752228,-87.613624518
"161","RAIN",1,41.756350653,-87.623256117
"162","CLEAR",16,41.866931249,-87.65395861
"163","CLEAR",20,41.777849615,-87.658038917
"164","CLOUDY/OVERCAST",22,41.911710067,-87.631795334
"165","CLEAR",2,41.892527524,-87.692471075
"166","CLEAR",9,41.736601558,-87.6049681
"167","RAIN",0,41.906674669,-87.73640129
"168","CLEAR",22,41.891023062,-87.62541861
"169","CLEAR",18,41.866230603,-87.653844645
"170","CLEAR",17,41.691293698,-87.711325293
"171","RAIN",0,41.870628881,-87.740228738
"172","CLEAR",21,41.839488997,-87.646460856
"173","CLEAR",15,41.743657867,-87.631343122
"174","RAIN",0,41.722257273,-87.585275565
"175","CLEAR",13,41.771862535,-87.605884775
"176","CLEAR",11,41.772789735,-87.632043814
"177","CLEAR",16,41.749285431,-87.724408691
"178","CLEAR",14,41.924919281,-87.677667941
"179","CLEAR",15,41.886471837,-87.706430699
"180","CLEAR",10,41.75034267,-87.672929562
"181","CLEAR",19,41.733896584,-87.612906004
"182","CLEAR",20,41.947823497,-87.786190981
"183","CLEAR",12,41.990172161,-87.689809271
"184","CLEAR",21,41.845493549,-87.625965134
"185","CLEAR",11,41.993862181,-87.660533267
"186","RAIN",2,41.818259727,-87.684839021
"187","CLEAR",21,41.806593753,-87.674785644
"188","CLEAR",21,41.737053429,-87.583561808
"189","CLEAR",17,41.90470719,-87.712835392
"190","CLEAR",16,41.801892215,-87.622565588
"191","CLEAR",12,41.875068572,-87.683771503
"192","CLEAR",10,41.887625042,-87.730927797
"193","RAIN",1,41.727703757,-87.585504555
"194","CLEAR",11,41.854955901,-87.630781287
"195","CLEAR",22,41.722077053,-87.60704187
"196","CLEAR",11,41.917218139,-87.756835605
"197","CLEAR",18,41.748068232,-87.682947216
"198","CLEAR",18,41.892094137,-87.611569884
"199","CLEAR",19,41.704480872,-87.720705773
