Latitude,Longitude,crime_hour
41.939252029,-87.658948849,1
41.779201821,-87.687645566,21
41.985610724,-87.663307609,14
41.706239145,-87.62437957,23
41.898922292,-87.731958884,20
41.89132763,-87.615178421,7
41.989243623,-87.665119726,16
41.87794002,-87.647759117,4
41.898767916,-87.624116333,16
41.861835803,-87.715283861,18
41.773899649,-87.610657246,8
41.888993854,-87.626934833,7
41.800313495,-87.691537641,9
41.666865418,-87.621148102,8
41.784420838,-87.650978283,6
41.711883395,-87.598474991,21
41.892570819,-87.65582976,5
41.892570819,-87.65582976,5
41.882219372,-87.677546419,22
41.76888502,-87.615343355,6
41.965424099,-87.655312136,9
41.97119859,-87.682941111,23
41.763435021,-87.565297784,11
41.795991039,-87.630542489,14
41.79329893,-87.66456619,20
41.906797102,-87.671861659,13
41.878123916,-87.633208786,12
41.722041421,-87.57170311,20
41.741149433,-87.740098384,22
41.764359677,-87.650454124,15
41.904462488,-87.648118305,16
41.823536688,-87.616989442,16
41.904462488,-87.648118305,21
41.904462488,-87.648118305,15
41.775015522,-87.683530209,23
41.777683108,-87.662074097,1
41.851419807,-87.733105093,9
41.989243623,-87.665119726,15
41.940060657,-87.643550894,14
41.764377638,-87.663763302,16
41.893696819,-87.709247108,23
41.916663369,-87.688396503,19
41.938859279,-87.793280189,18
41.787670818,-87.64741635,1
41.786399399,-87.693898477,23
41.962449068,-87.755610521,21
41.698044696,-87.668000013,22
41.799262988,-87.688207055,8
41.796936817,-87.663446505,3
41.899695895,-87.722548188,8
41.982388001,-87.656581304,13
41.746473315,-87.648778489,16
41.922411742,-87.747116236,17
41.788343257,-87.647431183,5
41.928020397,-87.766129983,8
41.771685949,-87.702102281,7
42.007824765,-87.670841822,21
41.748597835,-87.659060731,18
41.87926429,-87.743945195,10
41.790756393,-87.73656828,14
41.751492182,-87.668324248,14
41.744151668,-87.62434741,19
41.764939117,-87.661693779,20
41.893623014,-87.765347251,4
41.731548778,-87.659290351,1
41.776017544,-87.716449447,8
41.91028988,-87.690106536,19
41.914247906,-87.774691247,10
41.763435021,-87.565297784,0
41.739339735,-87.69088102,18
41.899695895,-87.722548188,14
41.84309923,-87.642762008,22
41.79329893,-87.66456619,21
41.880992442,-87.704486793,9
41.963028536,-87.663750164,16
41.989243623,-87.665119726,15
41.875132462,-87.736173215,18
41.767698722,-87.679571809,13
41.757215086,-87.563044633,22
41.738270789,-87.574534168,2
41.798444577,-87.617235951,4
41.867595589,-87.69959933,2
41.894824927,-87.631788635,23
41.780092701,-87.698294798,11
41.898158786,-87.637588738,13
41.751815774,-87.657000438,15
41.787546109,-87.697286211,16
41.931774197,-87.788161796,2
41.862435382,-87.711970441,18
41.761685294,-87.589663721,18
41.847214656,-87.720970303,9
41.783276387,-87.623784561,9
41.904462488,-87.648118305,16
41.824547259,-87.633121383,13
41.867595589,-87.69959933,16
41.806945482,-87.611397351,21
41.720838195,-87.6323107,0
41.884410376,-87.653664839,23
41.973057284,-87.686982081,13
41.806159473,-87.643819065,6
41.879279766,-87.762767982,19
41.906242849,-87.633000828,17
41.684031728,-87.531636264,5
41.947639505,-87.772407434,5
41.795991039,-87.630542489,13
41.879279766,-87.762767982,19
41.898922292,-87.731958884,7
41.981747612,-87.770787792,12
41.924250576,-87.745545036,14
41.971161193,-87.679256819,16
41.705047735,-87.648298905,17
41.812041089,-87.686384142,20
41.888993854,-87.626934833,1
41.997574238,-87.698841105,4
41.710457761,-87.623586086,19
41.721840482,-87.617277592,9
41.8857505,-87.628329355,17
41.823532723,-87.702914082,23
41.854705136,-87.708994967,10
41.939203835,-87.718297357,18
41.850959068,-87.718633233,20
41.82760215,-87.64868538,9
41.887111869,-87.716075939,8
41.789850121,-87.657194831,13
41.947820145,-87.757893073,7
41.738508319,-87.561168753,10
41.976454319,-87.901364605,15
41.884604507,-87.678094915,14
41.989243623,-87.665119726,15
41.902538926,-87.67968215,9
41.766250369,-87.637171976,19
41.925845933,-87.802650254,21
41.744151668,-87.62434741,9
41.878634421,-87.683168197,18
41.80761384,-87.613385208,19
41.757630995,-87.585708249,14
41.865213688,-87.727590376,17
41.969451889,-87.762111096,1
41.728661431,-87.594939083,19
41.757630995,-87.585708249,3
41.883209085,-87.633223046,12
41.74330766,-87.647152195,19
41.993100382,-87.679138918,20
41.726389584,-87.616681246,8
41.772969954,-87.700546316,21
41.757583704,-87.626358329,16
41.772037553,-87.676701328,13
41.862435382,-87.711970441,8
41.798011899,-87.616063534,19
41.781203314,-87.615649592,11
41.861835803,-87.715283861,21
41.757630995,-87.585708249,17
41.792333312,-87.58204143,1
41.932651187,-87.653197025,23
41.932862434,-87.641702699,8
41.772969954,-87.700546316,11
41.949994461,-87.747220162,1
41.791500125,-87.653591138,18
41.963308817,-87.676641996,15
41.906797102,-87.671861659,13
41.864423402,-87.718820002,9
41.757215086,-87.563044633,22
41.694551257,-87.534076017,18
41.8028026,-87.67697414,20
41.885112119,-87.624484053,3
41.991870696,-87.673335787,18
41.839859214,-87.724431324,17
41.902538926,-87.67968215,12
41.757630995,-87.585708249,10
41.873880295,-87.760256803,14
41.745971272,-87.685244965,12
41.771685949,-87.702102281,20
41.89318177,-87.6345943,9
41.898801082,-87.68691967,20
41.707027606,-87.634372432,20
41.917261979,-87.71847869,17
41.904462488,-87.648118305,14
41.84364786,-87.715983742,9
